"Project ID","6"
"Project","Payments"
"Run ID","789"
"Run","Run Release 9.6 Regression (Stage)"
"Exported at","2026-07-23T15:30:02.443Z"
"Closed","No"
"Created at","2026-07-22T17:21:45.000Z"
"Created by","Ana Paula"
"Milestone","Release 9.6"
"Started","Yes"
"Started at","2026-07-22T17:36:04.333Z"
"State","In progress"
"Tags","regression"
"Updated at","2026-07-22T17:21:52.236Z"
"Updated by","Ana Paula"
"Untested","95","73%"
"Passed","32","24%"
"Failed","0","0%"
"Retest","0","0%"
"Blocked","0","0%"
"Skipped","4","3%"

"Case ID","Test ID","Test","Result ID","Assigned to","Comment","Created at","Created by","Deleted","Deleted at","Deleted by","Description","Description","Elapsed","Estimate","Expected","Folder","Forecast","Issues","Issues (case)","Priority","State","Status","Steps (Expected)","Steps (Note)","Steps (Status)","Steps (Step)","Tags","Template","Updated at","Updated by"
"294868","1853936","Validate that, CNP with Wellfit GUID can process successful transactions with DISCOVER Card.","29827","","","2026-07-22T22:03:51.740Z","Christopher Valenzuela","No","","","<p><strong>AC Linked:</strong> AC-16<br /><strong>AC Description:</strong> <strong>Pay Page</strong> flow for <strong>Discover</strong>: run the <strong>Discover</strong> <strong>Paypages</strong> request to <code><strong>…/eProtect/paypage</strong></code>, capture <code><strong>paypageRegistrationId</strong></code>, then <code><strong>POST {{URL}}/credit-card/process-card</strong></code> with <code><strong>payPageRegistrationId</strong></code> (not a DB <code><strong>ProcessorToken</strong></code>). Use <strong>Discover</strong> test <code><strong>accountNumber</strong></code> / <code><strong>cvv</strong></code> from <strong>Confluence</strong> and the <code><strong>network</strong></code> value your API expects for <strong>Discover</strong>.</p><p><strong>Preconditions</strong></p><ul><li><strong>Discover</strong> sandbox PAN and <strong>CVV</strong> from <strong>Confluence</strong>.</li><li><strong>Paypages</strong> <strong>Discover</strong> form body (<code><strong>x-www-form-urlencoded</strong></code>: <code><strong>paypageId</strong></code>, <code><strong>reportGroup</strong></code>, <code><strong>orderId</strong></code>, <code><strong>id</strong></code>, <code><strong>accountNumber</strong></code>, <code><strong>cvv</strong></code>).</li><li><strong>Payment-Bearer-Token</strong> from <code><strong>POST {{URL}}/authenticate</strong></code>.</li><li><code><strong>process-card</strong></code> includes <code><strong>payPageRegistrationId</strong></code>, <code><strong>subMerchantId</strong></code>, <code><strong>processor</strong></code>: <strong>Vantiv</strong>, <code><strong>network</strong></code> for <strong>Discover</strong>, and required sale fields.</li></ul>","","","","<ul><li><strong>eProtect</strong> returns <strong>200</strong> with <code><strong>paypageRegistrationId</strong></code> and a success-style response.</li><li><code><strong>credit-card/process-card</strong></code> returns <strong>200 OK</strong> with <code><strong>transactionId</strong></code>, <code><strong>approvalNumber</strong></code>, <code><strong>billingDescriptor</strong></code>, and related success fields.</li></ul>","Card Not Present (CNP)","","","","Normal","Active","Passed","","","Passed
Passed
Passed","<p>First call <code><strong>POST …/eProtect/paypage</strong></code> with the <strong>Discover</strong> <strong>Paypages</strong> fields and save <code><strong>paypageRegistrationId</strong></code>.</p>
<p>Then <code><strong>POST {{URL}}/authenticate</strong></code> and <code><strong>POST {{URL}}/credit-card/process-card</strong></code> with Bearer auth, <code><strong>payPageRegistrationId</strong></code>, and valid <strong>Discover</strong> <code><strong>network</strong></code> / merchant fields.</p>
<p>Finally confirm <strong>Expected</strong> on both responses.</p>","","Case (text)","",""
"294869","1853937","Validate that, CNP with Wellfit GUID can process successful transactions with Master  Card.","29828","","","2026-07-22T22:04:21.141Z","Christopher Valenzuela","No","","","<p><strong>AC Linked:</strong> AC-17<br /><strong>AC Description:</strong> <strong>Pay Page</strong> flow for <strong>MasterCard</strong>: run the <strong>Master</strong> <strong>Paypages</strong> request to <code><strong>…/eProtect/paypage</strong></code>, capture <code><strong>paypageRegistrationId</strong></code>, then <code><strong>POST {{URL}}/credit-card/process-card</strong></code> with <code><strong>payPageRegistrationId</strong></code> (not a DB <code><strong>ProcessorToken</strong></code>). Use <strong>MasterCard</strong> test <code><strong>accountNumber</strong></code> / <code><strong>cvv</strong></code> from <strong>Confluence</strong> and the <code><strong>network</strong></code> value your API expects for <strong>MasterCard</strong>.</p><p><strong>Preconditions</strong></p><ul><li><strong>MasterCard</strong> sandbox PAN and <strong>CVV</strong> from <strong>Confluence</strong>.</li><li><strong>Paypages</strong> <strong>Master</strong> form body (<code><strong>x-www-form-urlencoded</strong></code>: <code><strong>paypageId</strong></code>, <code><strong>reportGroup</strong></code>, <code><strong>orderId</strong></code>, <code><strong>id</strong></code>, <code><strong>accountNumber</strong></code>, <code><strong>cvv</strong></code>).</li><li><strong>Payment-Bearer-Token</strong> from <code><strong>POST {{URL}}/authenticate</strong></code>.</li><li><code><strong>process-card</strong></code> includes <code><strong>payPageRegistrationId</strong></code>, <code><strong>subMerchantId</strong></code>, <code><strong>processor</strong></code>: <strong>Vantiv</strong>, <code><strong>network</strong></code> for <strong>MasterCard</strong>, and required sale fields.</li></ul>","","","","<ul><li><strong>eProtect</strong> returns <strong>200</strong> with <code><strong>paypageRegistrationId</strong></code> and a success-style response.</li><li><code><strong>credit-card/process-card</strong></code> returns <strong>200 OK</strong> with <code><strong>transactionId</strong></code>, <code><strong>approvalNumber</strong></code>, <code><strong>billingDescriptor</strong></code>, and related success fields.</li></ul>","Card Not Present (CNP)","","","","Normal","Active","Passed","","","Passed
Passed
Passed","<p>First call <code><strong>POST …/eProtect/paypage</strong></code> with the <strong>Master</strong> <strong>Paypages</strong> fields and save <code><strong>paypageRegistrationId</strong></code>.</p>
<p>Then <code><strong>POST {{URL}}/authenticate</strong></code> and <code><strong>POST {{URL}}/credit-card/process-card</strong></code> with Bearer auth, <code><strong>payPageRegistrationId</strong></code>, and valid <strong>MasterCard</strong> <code><strong>network</strong></code> / merchant fields.</p>
<p>Finally confirm <strong>Expected</strong> on both responses.</p>","","Case (text)","",""
"18564","1853879","Verify that, from Wellfit Provisioning authenticate API is working 200 ok","29685","","","2026-07-22T17:36:04.302Z","Ana Paula","No","","","<p>Authenticate returns 200 OK and a valid bearer token for subsequent Provisioning API calls.</p><p><strong>Preconditions</strong><br />Stage Merchant Provisioning API is available. Valid API credentials from Postman env / internal test data.</p>","","","","<p>HTTP <strong>200 OK</strong>. Response body includes <code><strong>bearerToken</strong></code> (non-empty). Token can be used as <code>Authorization: Bearer {token}</code> on protected endpoints.</p>","Wellfit Provisioning","","","","Normal","Active","Passed","","","Untested
Untested
Untested","<p>First send <strong>POST</strong> <code>{{URL}}/authenticate</code> with <code>Content-Type: application/json</code> and body <code>username</code> / <code>password</code>.</p>
<p>Then confirm the response status is <strong>200 OK</strong>.</p>
<p>Finally verify the JSON response contains <code><strong>bearerToken</strong></code> and save it for later requests.</p>","","Case (text)","",""
"18565","1853880","Verify that, from Wellfit Provisioning, create new submerchant API is working 200 ok","29686","","","2026-07-22T17:36:10.727Z","Ana Paula","No","","","<p>Create sub-merchant returns 200 OK and a new <code>wellfitSubMerchantId</code>.</p><p><strong>Preconditions</strong><br />Valid Bearer token from <code>/authenticate</code>. Valid create-sub-merchant payload from Postman collection (LegalEntity, SubMerchant, SubMerchantAccounts).</p>","","","","<p>HTTP <strong>200 OK</strong>. Response includes <code><strong>wellfitSubMerchantId</strong></code> (non-empty GUID).</p>","Wellfit Provisioning","","","","Normal","Active","Passed","","","Untested
Untested
Untested
Untested","<p>First authenticate via <strong>POST</strong> <code>{{URL}}/authenticate</code> and save <code><strong>bearerToken</strong></code>.</p>
<p>Then send <strong>POST</strong> <code>{{URL}}/provisioning/create-sub-merchant</code> with <code>Authorization: Bearer {token}</code>, <code>Content-Type: application/json</code>, and a valid create payload.</p>
<p>Then confirm the response status is <strong>200 OK</strong>.</p>
<p>Finally verify the response body contains <code><strong>wellfitSubMerchantId</strong></code> and save it for later requests.</p>","","Case (text)","",""
"18566","1853881","Verify that, from Wellfit Provisioning collection, create update submerchant API is working 200 ok","29688","","","2026-07-22T17:37:03.656Z","Ana Paula","No","","","<p>Update sub-merchant via create-sub-merchant returns 200 OK with a valid <code>wellfitSubMerchantId</code>.</p><p><strong>Preconditions</strong><br />Valid Bearer token from <code>/authenticate</code>. Existing sub-merchant identifiers from a prior create (e.g. <code>PspMerchantId</code>, <code>OrganizationId</code>). Update payload from Postman <strong>MP update</strong> request.</p>","","","","<p>HTTP <strong>200 OK</strong>. Response includes <code><strong>wellfitSubMerchantId</strong></code> (non-empty GUID).</p>","Wellfit Provisioning","","","","Normal","Active","Passed","","","Untested
Untested
Untested
Untested","<p>First authenticate via <strong>POST</strong> <code>{{URL}}/authenticate</code> and save <code><strong>bearerToken</strong></code>.</p>
<p>Then send <strong>POST</strong> <code>{{URL}}/provisioning/create-sub-merchant</code> with <code>Authorization: Bearer {token}</code>, <code>Content-Type: application/json</code>, and the update payload (modified LegalEntity / SubMerchant fields for an existing sub-merchant).</p>
<p>Then confirm the response status is <strong>200 OK</strong>.</p>
<p>Finally verify the response body contains <code><strong>wellfitSubMerchantId</strong></code>.</p>","","Case (text)","",""
"18567","1853882","Verify that, from Wellfit Provisioning collection, create read submerchant API is working 200 ok","29700","","","2026-07-22T17:54:54.541Z","Ana Paula","No","","","<p>Retrieve sub-merchant returns 200 OK and the sub-merchant data for a valid <code>wellfitSubMerchantId</code>.</p><p><strong>Preconditions</strong><br />Valid Bearer token from <code>/authenticate</code>. Valid <code><strong>wellfitSubMerchantId</strong></code> from a prior create (Postman env or saved from create response).</p>","","","","<p>HTTP <strong>200 OK</strong>. Response body includes sub-merchant details for the requested <code><strong>wellfitSubMerchantId</strong></code>.</p>","Wellfit Provisioning","","","","Normal","Active","Passed","","","Untested
Untested
Untested
Untested","<p>First authenticate via <strong>POST</strong> <code>{{URL}}/authenticate</code> and save <code><strong>bearerToken</strong></code>.</p>
<p>Then send <strong>GET</strong> <code>{{URL}}/provisioning/retrieve-sub-merchant?wellfitSubMerchantId={id}</code> with <code>Authorization: Bearer {token}</code> and <code>Content-Type: application/json</code>.</p>
<p>Then confirm the response status is <strong>200 OK</strong>.</p>
<p>Finally verify the response body matches the sub-merchant created earlier (e.g. merchant name, identifiers).</p>","","Case (text)","",""
"18568","1853883","Verify that, from DB Payments.Submerchant's table, created new submerchant is logged and stored correctly","29701","","","2026-07-22T17:55:39.956Z","Ana Paula","No","","","<p>After create sub-merchant, a new row exists in <code><strong>[Payments].[SubMerchants]</strong></code> with data matching the API request and response.</p><p><strong>Preconditions</strong><br />Sub-merchant successfully created via <strong>POST</strong> <code>/provisioning/create-sub-merchant</code>. <code><strong>wellfitSubMerchantId</strong></code> saved from API response. DB access to Stage Payments database.</p>","","","","<p>One row found for the new <code><strong>wellfitSubMerchantId</strong></code>. Key fields match the create payload (e.g. merchant name, <code>PspMerchantId</code>, <code>OrganizationId</code>, <code>BillingDescriptor</code>, <code>MerchantCategoryCode</code>).</p>","Wellfit Provisioning","","","","Normal","Active","Passed","","","Untested
Untested
Untested
Untested","<p>First create a sub-merchant via <strong>POST</strong> <code>{{URL}}/provisioning/create-sub-merchant</code> and save <code><strong>wellfitSubMerchantId</strong></code> from the response.</p>
<p>Then query the database: <code>SELECT * FROM [Payments].[SubMerchants] WHERE Id = '{wellfitSubMerchantId}'</code> (or equivalent key column per env schema).</p>
<p>Then confirm exactly one row is returned.</p>
<p>Finally compare DB values against the create request and API response (merchant name, PSP identifiers, billing descriptor, MCC, organization).</p>","","Case (text)","",""
"18568","1853883","Verify that, from DB Payments.Submerchant's table, created new submerchant is logged and stored correctly","29702","","","2026-07-22T18:06:02.504Z","Ana Paula","No","","","<p>After create sub-merchant, a new row exists in <code><strong>[Payments].[SubMerchants]</strong></code> with data matching the API request and response.</p><p><strong>Preconditions</strong><br />Sub-merchant successfully created via <strong>POST</strong> <code>/provisioning/create-sub-merchant</code>. <code><strong>wellfitSubMerchantId</strong></code> saved from API response. DB access to Stage Payments database.</p>","","","","<p>One row found for the new <code><strong>wellfitSubMerchantId</strong></code>. Key fields match the create payload (e.g. merchant name, <code>PspMerchantId</code>, <code>OrganizationId</code>, <code>BillingDescriptor</code>, <code>MerchantCategoryCode</code>).</p>","Wellfit Provisioning","","","","Normal","Active","Passed","","","Untested
Untested
Untested
Untested","<p>First create a sub-merchant via <strong>POST</strong> <code>{{URL}}/provisioning/create-sub-merchant</code> and save <code><strong>wellfitSubMerchantId</strong></code> from the response.</p>
<p>Then query the database: <code>SELECT * FROM [Payments].[SubMerchants] WHERE Id = '{wellfitSubMerchantId}'</code> (or equivalent key column per env schema).</p>
<p>Then confirm exactly one row is returned.</p>
<p>Finally compare DB values against the create request and API response (merchant name, PSP identifiers, billing descriptor, MCC, organization).</p>","","Case (text)","",""
"304279","1853997","Verify that, from Wellfit Provisioning, read merchant category codes API returns 200 OK","29704","","","2026-07-22T18:28:01.973Z","Ana Paula","No","","","<p>GET merchant category codes returns 200 OK with a list of MCC codes and descriptions.</p><p><strong>Preconditions</strong><br />Valid Bearer token from <code>/authenticate</code>. Stage Merchant Provisioning API available.</p>","","","","<p>HTTP <strong>200 OK</strong>. Response body includes <code><strong>items</strong></code> array. Each item has <code><strong>code</strong></code> and <code><strong>description</strong></code> (non-empty).</p>","Wellfit Provisioning","","","","Normal","Active","Passed","","","Untested
Untested
Untested
Untested","<p>First authenticate via <strong>POST</strong> <code>{{URL}}/authenticate</code> and save <code><strong>bearerToken</strong></code>.</p>
<p>Then send <strong>GET</strong> <code>{{URL}}/merchant-category-codes</code> with <code>Authorization: Bearer {token}</code> and <code>Content-Type: application/json</code>.</p>
<p>Then confirm the response status is <strong>200 OK</strong>.</p>
<p>Finally verify the JSON response contains <code><strong>items</strong></code> and each entry includes <code><strong>code</strong></code> and <code><strong>description</strong></code>.</p>","","Case (text)","",""
"304280","1853998","Verify that, from Wellfit Provisioning, create merchant category code API returns 200 OK","","","","","","","","","<p>POST merchant category code creates a new MCC and returns the created code and description.</p><p><strong>Preconditions</strong><br />Valid Bearer token from <code>/authenticate</code>. Stage Merchant Provisioning API available. Use a unique <code><strong>code</strong></code> if <strong>1504</strong> already exists in the environment.</p>","","","","<p>HTTP <strong>200 OK</strong>. Response body:</p><p><code>{</code></p><p><code>  ""code"": ""1504"",</code></p><p><code>  ""description"": ""Test Code""</code></p><p><code>}</code></p>","Wellfit Provisioning","","","","Normal","Active","Untested","","","","<p>First authenticate via <strong>POST</strong> <code>{{URL}}/authenticate</code> and save <code><strong>bearerToken</strong></code>.</p>
<p>Then send <strong>POST</strong> <code>{{URL}}/merchant-category-codes</code> with <code>Authorization: Bearer {token}</code>, <code>Content-Type: application/json</code>, and body:</p><p><code>{</code></p><p><code>  ""code"": ""1504"",</code></p><p><code>  ""description"": ""Test Code""</code></p><p><code>}</code></p>
<p>Then confirm the response status is <strong>200 OK</strong>.</p>
<p>Finally verify the response body returns <code><strong>code</strong></code> <strong>1504</strong> and <code><strong>description</strong></code> <strong>Test Code</strong>.</p>","","Case (text)","",""
"304281","1853999","Verify that, from Wellfit Provisioning, delete merchant category code API returns 200 OK","","","","","","","","","<p>DELETE merchant category code removes the MCC by code and returns 200 OK.</p><p><strong>Preconditions</strong><br />Valid Bearer token from <code>/authenticate</code>. MCC <code><strong>1504</strong></code> exists (created via POST or from prior test data).</p>","","","","<p>HTTP <strong>200 OK</strong>. Response body is empty or has no error payload.</p>","Wellfit Provisioning","","","","Normal","Active","Untested","","","","<p>First authenticate via <strong>POST</strong> <code>{{URL}}/authenticate</code> and save <code><strong>bearerToken</strong></code>.</p>
<p>Then send <strong>DELETE</strong> <code>{{URL}}/merchant-category-codes?code=1504</code> with <code>Authorization: Bearer {token}</code> and <code>Content-Type: application/json</code>.</p>
<p>Then confirm the response status is <strong>200 OK</strong>.</p>
<p>Finally send <strong>GET</strong> <code>{{URL}}/merchant-category-codes</code> and verify <code><strong>1504</strong></code> is no longer in the <code><strong>items</strong></code> list.</p>","","Case (text)","",""
"304282","1854000","Verify that, when a new sub-merchant is created, its merchant category code is stored and matches MerchantCategoryCodes","","","","","","","","","<p>New sub-merchant is saved with the <code><strong>MerchantCategoryCode</strong></code> sent in the create request, aligned with <code><strong>[MerchantProvisioning].[MerchantCategoryCodes]</strong></code>.</p><p><strong>Preconditions</strong><br />Valid Bearer token. Valid MCC from catalog (e.g. <code><strong>8021</strong></code> — Dentist &amp; Orthodontists). DB access to Stage.</p>","","","","<p>Create returns <strong>200 OK</strong> with <code><strong>wellfitSubMerchantId</strong></code>. Sub-merchant row has <code><strong>MerchantCategoryCode</strong></code><strong> = </strong><code><strong>8021</strong></code>. Code exists in <code><strong>[MerchantProvisioning].[MerchantCategoryCodes]</strong></code> with matching <code><strong>Description</strong></code>.</p>","Wellfit Provisioning","","","","Normal","Active","Untested","","","","<p>First authenticate via <strong>POST</strong> <code>{{URL}}/authenticate</code> and save <code><strong>bearerToken</strong></code>.</p>
<p>Then confirm MCC <code><strong>8021</strong></code> exists: <code>SELECT Code, Description FROM [MerchantProvisioning].[MerchantCategoryCodes] WHERE Code = '8021'</code>.</p>
<p>Then create sub-merchant via <strong>POST</strong> <code>{{URL}}/provisioning/create-sub-merchant</code> with <code><strong>MerchantCategoryCode</strong></code><strong>: </strong><code><strong>8021</strong></code> and <code><strong>MerchantCategoryDetail</strong></code> in the SubMerchant payload; save <code><strong>wellfitSubMerchantId</strong></code>.</p>
<p>Then query: <code>SELECT MerchantCategoryCode FROM [Payments].[SubMerchants] WHERE Id = '{wellfitSubMerchantId}'</code> (adjust column/table name per env if needed).</p>
<p>Then confirm <code><strong>MerchantCategoryCode</strong></code> is <code><strong>8021</strong></code>.</p>
<p>Finally call <strong>GET</strong> <code>{{URL}}/provisioning/retrieve-sub-merchant?wellfitSubMerchantId={id}</code> and confirm the response also shows MCC <code><strong>8021</strong></code>.</p>","","Case (text)","",""
"66735","1853886","Ensure, CP endpoint (/credit-card-present/charge-card) is able to make successfull payment with any payment device","","","","","","","","","","","","","","Card Present (CP)","","","","Normal","Active","Untested","","","","","","Case (text)","",""
"66736","1853887","Ensure, CP endpoint is able to return token guid in the response","","","","","","","","","","","","","","Card Present (CP)","","","","Normal","Active","Untested","","","","","","Case (text)","",""
"66737","1853888","Ensure, Refunds are working fine for CP transactions","","","","","","","","","","","","","","Card Present (CP)","","","","Normal","Active","Untested","","","","","","Case (text)","",""
"66738","1853889","Ensure, voids are working fine for CP transactions","","","","","","","","","","","","","","Card Present (CP)","","","","Normal","Active","Untested","","","","","","Case (text)","",""
"66739","1853890","Ensure, CP end point returns transactionid with dash (-) (ex: 508616192-1588)","","","","","","","","","","","","","","Card Present (CP)","","","","Normal","Active","Untested","","","","","","Case (text)","",""
"67588","1853891","Verify that, authenticate API req res is successful","","","","","","","","","<p>Send a request to the authentication API with valid credentials.<br /> </p>","","","","<p>Successful response (HTTP 200/201) and retrieve the access token.</p>","PAY-1128 MyWallet: Adding New Cards","","","PAY-1765","Normal","Active","Untested","","","","","","Case (text)","",""
"67589","1853892","Verify that, create-wallet API req res retrieves a successful response","","","","","","","","","<p>Send a request to the wallet creation API.</p>","","","","<p>Validate the response for expected fields (wallet token ID, creation timestamp).</p>","PAY-1128 MyWallet: Adding New Cards","","","PAY-1765","Normal","Active","Untested","","","","","","Case (text)","",""
"67590","1853893","Verify that, a new card token can be added to a Wallet via API","","","","","","","","","<p>Send a request to the tokenization API with valid card details.<br /><br />Validate that the response contains a valid token and expected fields.<br /> </p>","","","","<p>Verify that the API response confirms successful addition (HTTP 200/201)<br /> </p>","PAY-1128 MyWallet: Adding New Cards","","","PAY-1765","Normal","Active","Untested","","","","","","Case (text)","",""
"67591","1853894","Verify that executing a query from the Wallet DB will retrieve the Wallet and Card token logs","","","","","","","","","","","","","<p>Query the wallet database to confirm a new entry with the correct user ID, wallet ID, and token details.</p>","PAY-1128 MyWallet: Adding New Cards","","","PAY-1765","Normal","Active","Untested","","","","","","Case (text)","",""
"67592","1853895","Verify that, card number, expiration date, CVV, zip/postal code,  input validations errors are returned via API","","","","","","","","","<p>Send requests with various invalid card numbers (incomplete, non-numeric, too short/long)</p>","","","","<p>Validate that the API returns appropriate error messages and status codes (HTTP 400)</p>","PAY-1128 MyWallet: Adding New Cards","","","PAY-1765","Normal","Active","Untested","","","","","","Case (text)","",""
"67593","1853896","Verify that, create-card token API returns a confirmation response after successfully adding a new card","","","","","","","","","","","","","<p>Ensure the response includes a success message, card token, wallet ID, and timestamps</p><p>Check the Wallet DB to confirm the card/token entry exists</p>","PAY-1128 MyWallet: Adding New Cards","","","PAY-1765","Normal","Active","Untested","","","","","","Case (text)","",""
"67594","1853897","Verify that the card token generation  is logged in the DB","","","","","","","","","","","","","<p>Query the wallet database to confirm a new entry with the correct user ID, wallet ID, and token details.</p>","PAY-1128 MyWallet: Adding New Cards","","","PAY-1765","Normal","Active","Untested","","","","","","Case (text)","",""
"67595","1853898","Validate Wallet Tokenize Transaction - TokenId Stored in Wallet DB","","","","","","","","","<ul><li>A valid request to add a token to the wallet is made with the necessary authentication and data.</li><li>Wallet DB is accessible for querying and contains the required schema for storing tokenized data.</li></ul>","","","","<ul><li>The resultant <code>tokenId</code> is correctly generated and stored in the Wallet DB.</li><li>The <code>tokenId</code> can be queried and found in the Wallet DB.</li><li><strong>API response</strong>: HTTP 200 OK (or equivalent success response indicating successful tokenization and storage).</li></ul>","PAY-1128 MyWallet: Adding New Cards","","","PAY-1765","Normal","Active","Untested","","","","","","Case (text)","",""
"67603","1853899","Verify that, delete-token API for credit cards request response is successful","","","","","","","","","<p>Validate the API response for a successful deletion confirmation</p>","","","","<p>Send a request to the ""Delete Token"" API with the corresponding token.</p>","PAY-1127 MyWallet: Removing Stored Cards","","","PAY-1127,PAY-1765","Normal","Active","Untested","","","","","","Case (text)","",""
"67604","1853900","Verify that, a card token cannot be deleted without authentication","","","","","","","","","<p>Attempt to call the ""Delete Token"" API without an access token.</p>","","","","<p>Ensure the API returns an unauthorized (HTTP 401) response</p>","PAY-1127 MyWallet: Removing Stored Cards","","","PAY-1127,PAY-1765","Normal","Active","Untested","","","","","","Case (text)","",""
"67605","1853901","Verify that, attempting to delete a token linked to an active subscription retrieves an error message","","","","","","","","","<p>Attempt to delete a token linked to an active subscription.</p>","","","","<p>Validate that the API returns an error message (HTTP 400/409) with an appropriate reason.</p>","PAY-1127 MyWallet: Removing Stored Cards","","","PAY-1127,PAY-1765","Normal","Active","Untested","","","","","","Case (text)","",""
"67606","1853902","Verify that, attempting to delete a card token linked to an active payment plans retrieves an error message","","","","","","","","","<p>Attempt to delete a token linked to an active payment plans</p>","","","","<p>Validate that the API returns an error message (HTTP 400/409) with an appropriate reason.</p>","PAY-1127 MyWallet: Removing Stored Cards","","","PAY-1127,PAY-1765","Normal","Active","Untested","","","","","","Case (text)","",""
"67607","1853903","Verify that, a clear error message is displayed when card token cannot be deleted from the Wallet","","","","","","","","","<p>Attempt to delete a non-existent token, a token linked to a payments plan and an active subscription</p>","","","","<p>Validate that the API returns a proper error response (e.g., HTTP 404)</p>","PAY-1127 MyWallet: Removing Stored Cards","","","PAY-1127,PAY-1765","Normal","Active","Untested","","","","","","Case (text)","",""
"67608","1853904","Verify that, all types of cards can be deleted via API","","","","","","","","","<p>Test with different card types Visa, MasterCard, Amex, Discover</p>","","","","<p>Ensure all can be successfully deleted unless restricted.</p>","PAY-1127 MyWallet: Removing Stored Cards","","","PAY-1127,PAY-1765","Normal","Active","Untested","","","","","","Case (text)","",""
"67609","1853905","Verify that, once a deleted card token is removed, the details are also removed from the Wallet DB","","","","","","","","","","","","","<p>Query the wallet database to confirm that the token no longer exists after deletion.</p>","PAY-1127 MyWallet: Removing Stored Cards","","","PAY-1127,PAY-1765","Normal","Active","Untested","","","","","","Case (text)","",""
"167990","1853906","Ensure CNP V1 endpoint is able to make a successful payment with processor token","29829","","","2026-07-22T22:24:38.917Z","Christopher Valenzuela","No","","","<ul><li><strong>AC Linked:</strong> AC-1</li><li><strong>AC Description:</strong> CNP V1 <code>process-card</code> accepts a valid processor token from <code>PaymentTokens</code> and completes an approved card-not-present charge.</li></ul><p><strong>Preconditions</strong></p><ul><li>Stage CNP V1 environment is reachable; <code>{{URL}}</code> is set to <code>https://stage-platform.wellfit.com/payments</code>.</li><li>Valid API credentials exist for <code>POST {{URL}}/authenticate</code> (e.g. <code>WellfitUnifiedPaymentsAPI</code>).</li><li>A valid processor token exists in <code>[Payments].[PaymentTokens]</code> for the target card network and sub-merchant (e.g. Stage Redhill <code>159F2670-1B71-4EF6-AD30-0EBF0991E2CC</code>).</li><li>Test data aligns with the selected token: matching <code>network</code> (VI / MC / AMEX / Discover code), <code>expirationDate</code> (MMYY), and sub-merchant.</li></ul>","","","","<ul><li><code>POST {{URL}}/authenticate</code> returns <strong>200 OK</strong> and a bearer token stored as <code>Payment-Bearer-Token</code>.</li><li><code>POST {{URL}}/credit-card/process-card</code> with the processor token in <code>token</code> returns <strong>200 OK</strong> with <code>transactionId</code> and <code>approvalNumber</code>.</li><li>A row is created in <code>[Payments].[Payments]</code> for the returned <code>transactionId</code> with the requested <code>amount</code> and <code>orderId</code>, and <code>PaymentTypeMethod</code> = <strong>2</strong> (CNP token).</li><li>CVV and zip code are not required in the request when charging with a processor token.</li></ul>","TokenVault","","","","Normal","Active","Passed","","","Passed
Passed
Passed
Passed","<p>First send <code>POST {{URL}}/authenticate</code> with valid Stage credentials and confirm <code>Payment-Bearer-Token</code> is captured in the Postman environment.</p>
<p>Then retrieve a valid processor token from <code>[Payments].[PaymentTokens]</code> (or approved Confluence / test data) for the intended card network and sub-merchant.</p>
<p>Next send <code>POST {{URL}}/credit-card/process-card</code> with Bearer authorization, the processor token in <code>token</code>, a unique <code>orderId</code>, valid <code>subMerchantId</code>, <code>amount</code>, <code>payFacFee</code>, <code>expirationDate</code>, and matching <code>network</code>; do not send <code>cvv</code> or <code>zipCode</code>.</p>
<p>Finally verify the API response is <strong>200 OK</strong> with <code>transactionId</code> and <code>approvalNumber</code>, and query <code>[Payments].[Payments]</code> by <code>TransactionId</code> to confirm the payment was persisted with <code>PaymentTypeMethod</code> = <strong>2</strong>.</p>","","Case (text)","",""
